CLE;NATURE;NOM;AGE_MIN;AGE_MAX;NOMBRE_JEUX;X_LONG;Y_LAT;GEOMETRIE;NUM_QUARTIER
976;Aire de jeux;Berges du Lac_Plage;1,00;12,00;2;-0,578932285046847;44,8779825499956;POLYGON ((-0.578842032917968 44.8779719925657, -0.578883800397755 44.8780375726577, -0.579022537207517 44.8779931073552, -0.578980769604067 44.877927527312, -0.578842032917968 44.8779719925657));
978;Aire de jeux;Place des Droits de l'Enfant;1,00;12,00;11;-0,564294382315667;44,845843033572;POLYGON ((-0.564636852525033 44.8461322949604, -0.56455820356947 44.8457575938299, -0.564488925500157 44.8457286861231, -0.564115878100311 44.8455728210396, -0.564109784973952 44.8455807587305, -0.563894234592444 44.8458604510082, -0.563904996428474 44.84586452791, -0.564025090369738 44.8459084192986, -0.56416085994791 44.8459580351541, -0.564205429535142 44.8459743850653, -0.564498493383268 44.8460817698756, -0.564622990768102 44.8461272342606, -0.564636852525033 44.8461322949604));7
984;Aire de jeux;Place Valmy;3,00;12,00;3;-0,594928469747018;44,8228503127685;POLYGON ((-0.594941529427182 44.8227543692787, -0.594929940926159 44.8227478196049, -0.594929029369961 44.822747302441, -0.594919394245378 44.8227469164346, -0.594912245564695 44.8227481782599, -0.594847182212304 44.8227854864139, -0.594830252189276 44.8228011335338, -0.594819269936532 44.8228193312299, -0.59481317052592 44.8228390259502, -0.594813524654931 44.8228587371266, -0.594820932633669 44.8228778192131, -0.594836577067411 44.8228946213877, -0.594853557484889 44.8229103091282, -0.594904977233557 44.8229568199239, -0.594922081359257 44.8229572866809, -0.594936022190856 44.8229552223023, -0.594950735311521 44.8229483658811, -0.595041075953012 44.8228725972165, -0.595053443050842 44.8228593169321, -0.59505649496857 44.8228495145319, -0.595057493552896 44.8228391338756, -0.595054353659856 44.8228294884881, -0.59504783347222 44.8228205591429, -0.595028167583679 44.8228068305018, -0.594942571849123 44.8227549731705, -0.594941529427182 44.8227543692787));4
45881;Aire de jeux;Place Francis de Pressensé;2,00;6,00;4;-0,575308846560817;44,8323190884165;POLYGON ((-0.575379333336975 44.8322868400781, -0.575379914852714 44.8322860110793, -0.575380358863625 44.8322850062404, -0.575380423836408 44.8322840133123, -0.575380609575837 44.8322829265086, -0.575380295510513 44.8322819454914, -0.575379981445204 44.8322809644742, -0.575379288341812 44.8322799953678, -0.575378600817833 44.8322791161667, -0.575377798106612 44.8322784207463, -0.575376869049386 44.8322777292963, -0.575375692879519 44.8322771356921, -0.575374527868426 44.8322767218983, -0.575373362857354 44.8322763081045, -0.575372082659021 44.8322760780916, -0.575300627171268 44.8322567942173, -0.57529896793571 44.832256576114, -0.575297193512694 44.8322565417915, -0.575295556594163 44.8322566833093, -0.575293804488141 44.8322570086078, -0.575292184307332 44.8322574198413, -0.575290816818468 44.8322578231344, -0.575289460488074 44.832258406238, -0.575288115316131 44.8322591691521, -0.575287022836134 44.8322599241259, -0.575286067860578 44.8322608549399, -0.575238020528749 44.8323515444938, -0.575237840365578 44.8323527212024, -0.575238044820175 44.8323539759059, -0.575238375620981 44.8323552266393, -0.575238832768014 44.8323564734026, -0.575239542607478 44.8323577122256, -0.5752405051394 44.8323589431083, -0.575241582859222 44.8323599902104, -0.575243039617729 44.8323610254021, -0.575244485217927 44.8323618807832, -0.575246172352234 44.8323625484135, -0.575317594477189 44.8323812928902, -0.575319138528753 44.8323816947739, -0.575320665842434 44.8323818269418, -0.575322187576815 44.8323818692043, -0.575323698152579 44.8323817316564, -0.575325197569719 44.832381414298, -0.575326685828216 44.832380917129, -0.575327921394183 44.8323804279004, -0.575329019455243 44.8323797628315, -0.575330111936963 44.8323790078574, -0.575330946146839 44.8323781709185, -0.575331648431127 44.8323772480445, -0.575332218789824 44.8323762392355, -0.575379333336975 44.8322868400781));6
40898;Aire de jeux;Parc de la Cité du Grand Parc_Maryse Bastié;1,00;8,00;4;-0,578084705837757;44,8613135443103;POLYGON ((-0.578157510681416 44.8613037216689, -0.578074897183178 44.86126037738, -0.578011929330155 44.8613232508845, -0.578094427634426 44.8613667790016, -0.578157510681416 44.8613037216689));2
40824;Aire de jeux;Parc Monséjour;1,00;10,00;6;-0,631524036048745;44,8538518191816;MULTIPOLYGON (((-0.631511808749195 44.853902354684, -0.631532299080426 44.85383567012, -0.631593118344829 44.8538502150587, -0.631613136429341 44.8538463334421, -0.631638247344998 44.8538047247058, -0.631514628057106 44.8537743467907, -0.631489227596076 44.8538254234562, -0.631508893852974 44.8538300208898, -0.631487769883603 44.8538987074902, -0.631511808749195 44.853902354684)), ((-0.631437924621375 44.853943717649, -0.631437632160829 44.8539430963973, -0.631437218980449 44.8539425690798, -0.63143680580008 44.8539420417623, -0.631436145511053 44.8539416124108, -0.631435490891017 44.8539412729616, -0.631415573496288 44.8539347016986, -0.631414677436731 44.8539345501174, -0.631413787046125 44.8539344884385, -0.631412907993414 44.853934606564, -0.631412155329506 44.8539347206576, -0.631411281945731 44.8539349286853, -0.631410414230887 44.8539352266152, -0.631409678573786 44.8539356104154, -0.631408948585613 44.8539360841179, -0.631408350655181 44.8539366436906, -0.63140775272474 44.8539372032634, -0.631377132141981 44.8539858340143, -0.631376919046391 44.8539864713935, -0.631376705950797 44.8539871087728, -0.631376619244128 44.8539877421202, -0.631376538206345 44.8539884653697, -0.631376704277533 44.8539890906534, -0.631377002406546 44.8539898018074, -0.631377168477742 44.8539904270911, -0.631377713715745 44.8539910402792, -0.631378253284864 44.853991563565, -0.631396780416561 44.8539981791852, -0.631397561425965 44.8539985146028, -0.631398463155401 44.8539987560862, -0.631399232826964 44.8539989116994, -0.631400249607499 44.8539989693466, -0.631401134330154 44.8539989411234, -0.631402013383872 44.853998822998, -0.631402886768652 44.8539986149704, -0.631403760153426 44.8539984069427, -0.63140449581137 44.8539980231425, -0.631405225800363 44.8539975494401, -0.631405823731456 44.8539969898674, -0.63140616321571 44.8539963484562, -0.631406502699957 44.853995707045, -0.631406715795253 44.8539950696658, -0.631437732531389 44.8539466965178, -0.631438077683975 44.8539461450088, -0.631438164389908 44.8539455116613, -0.631438251095839 44.8539448783139, -0.63143821141294 44.8539442489984, -0.631437924621375 44.853943717649)));8
40899;Aire de jeux;Square du Petit Cardinal;1,50;8,00;5;-0,545712896408886;44,8463829625899;POLYGON ((-0.545596382844824 44.8462821784658, -0.545596578766525 44.8465034062962, -0.545823536554311 44.8465021905441, -0.545824088900118 44.8462478803894, -0.545821808548702 44.8462478613575, -0.54580636820734 44.8462479821028, -0.545647920526954 44.8462739970748, -0.545648080111609 44.8462745325768, -0.545646574634823 44.8462747596374, -0.545646129086764 44.8462736925707, -0.545598217650298 44.8462811304352, -0.545598399371451 44.8462820255635, -0.545596382844824 44.8462821784658));7
960;Aire de jeux;Parc de Bacalan;1,00;10,00;11;-0,544462820497935;44,8727664707991;POLYGON ((-0.544301221732485 44.8726991058309, -0.544389308593612 44.8729013094037, -0.544389723443843 44.8729020194157, -0.544394747882901 44.8729140500695, -0.544402445471687 44.8729315067659, -0.544414495435748 44.8729370595154, -0.544634165736924 44.8728875591119, -0.544641742421863 44.8728717030378, -0.544519301475202 44.8725941789679, -0.54429010431181 44.8726456271854, -0.544282017775001 44.8726562734589, -0.544286827131799 44.8726665086202, -0.544301221732485 44.8726991058309));1
40872;Aire de jeux;Jardin de la Visitation;1,50;8,00;6;-0,594768197776438;44,8482839595445;POLYGON ((-0.594920508128376 44.8482718486925, -0.59493959341684 44.848238816551, -0.594954566713776 44.8482129406393, -0.594699328845672 44.8481568647124, -0.59469653701371 44.8481608263911, -0.594693871560919 44.848164784078, -0.594691079728196 44.8481687457566, -0.594688282284012 44.848172617531, -0.594685490450524 44.8481765792094, -0.594682566625992 44.8481804549753, -0.594679769180664 44.8481843267495, -0.59467683974429 44.8481881126111, -0.594673789538974 44.8481919923685, -0.594670739333246 44.8481958721258, -0.594667809895691 44.8481996579872, -0.594664633309512 44.848203541736, -0.594661445500822 44.8482072456765, -0.59465826330276 44.848211039521, -0.594655075493244 44.8482147434613, -0.594651766914671 44.8482185412973, -0.594650230588365 44.8482203013674, -0.594648447113616 44.8482221593249, -0.594645138534182 44.8482259571607, -0.594641824343292 44.8482296650922, -0.594638378161265 44.8482332871112, -0.594634931978801 44.8482369091301, -0.594631485795904 44.8482405311488, -0.594627913232839 44.8482441571591, -0.594624467049065 44.8482477791776, -0.594620888874129 44.8482513152836, -0.59461718992997 44.8482549452852, -0.594613611754138 44.8482584813909, -0.594609907198093 44.8482620214881, -0.59460607065085 44.8482654756726, -0.594602360482938 44.8482689258655, -0.594598655925529 44.8482724659623, -0.594594687386169 44.8482758342339, -0.594590850837091 44.848279288418, -0.594795762578108 44.8484602755884, -0.594800427422793 44.8484599480827, -0.594822197812845 44.8484252997714, -0.594825366861775 44.84840709332, -0.594829695774328 44.8483892105583, -0.594835035724171 44.8483712958615, -0.594840392504701 44.8483536508767, -0.594849596793018 44.8483367851764, -0.594861120804759 44.8483205668543, -0.594875003818048 44.8483056252386, -0.594887482247852 44.8482965832757, -0.594920508128376 44.8482718486925));3
962;Aire de jeux;place d'Arlac_Aire de jeux;1,00;8,00;5;-0,588817278555827;44,830685473849;POLYGON ((-0.588869577815927 44.8305167580528, -0.588767247626769 44.8305668281237, -0.588787270243462 44.8305895276019, -0.588798310320848 44.8306021510678, -0.588709344802034 44.8306472954555, -0.588632770053502 44.8306861035848, -0.588617299001527 44.8306937980627, -0.588624041676271 44.8307004315651, -0.588627297872403 44.8307039321104, -0.588676982228752 44.8307618186152, -0.588677669937638 44.8307626977361, -0.588695387975208 44.8307829476463, -0.588696207626484 44.8307839126868, -0.588723683100512 44.8308144844125, -0.5887239581846 44.8308148360608, -0.588730493002689 44.8308221967638, -0.588730900028852 44.8308226343316, -0.588731307055023 44.8308230718994, -0.588747666508523 44.8308418332738, -0.589006907022836 44.8307074520662, -0.589008499059524 44.8307065911145, -0.588958144647619 44.8306582744959, -0.588946177798494 44.8306470314974, -0.588943367150632 44.8306486515386, -0.588917777360227 44.8306239657458, -0.588961433217775 44.8306013294794, -0.588869577815927 44.8305167580528));4
